"Active Ingredient (link to Specific Guidance)","URL","Type","Route","Dosage Form","RLD or RS Number","Date Recommended","psg filename"
"Acetaminophen; Butalbital","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen;_Butalbital_cap_88831_88889_RC3-10.pdf","Draft","Oral","Capsule","088831","03/19/2010","Acetaminophen;_Butalbital_cap_88831_88889_RC3-10.pdf"
"Acetaminophen; Butalbital","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen Butalbital Oral Tablet ANDA 89987 RV Feb 2019.pdf","Draft","Oral","Tablet","089987","02/22/2019","Acetaminophen Butalbital Oral Tablet ANDA 89987 RV Feb 2019.pdf"
"Acetaminophen; Butalbital; Caffeine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen;Butalbital;Caffeine_A89007 A0885 A40885_RV Oct 2018.pdf","Draft","Oral","Capsule","040885                                                       089007","11/28/2018","Acetaminophen;Butalbital;Caffeine_A89007 A0885 A40885_RV Oct 2018.pdf"
"Acetaminophen; Butalbital; Caffeine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen; Butalbital; Caffeine_Oraltablet_ANDA 040511_RV Oct 2018.pdf","Draft","Oral","Tablet","040511","11/28/2018","Acetaminophen; Butalbital; Caffeine_Oraltablet_ANDA 040511_RV Oct 2018.pdf"
"Acetaminophen; Butalbital; Caffeine; Codeine Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020232.pdf","Draft","Oral","Capsule","020232","10/30/2024","PSG_020232.pdf"
"Acetaminophen; Caffeine; Dihydrocodeine Bitartrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen;_Caffeine;_Dihydrocodeine_Bitartrate_tab_40316__40109_RC4-09.pdf","Final","Oral","Tablet","040109","10/28/2011","Acetaminophen;_Caffeine;_Dihydrocodeine_Bitartrate_tab_40316__40109_RC4-09.pdf"
"Acetaminophen; Caffeine; Dihydrocodeine Bitartrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen; Caffeine; Dihydrocodeine Bitartrate Oral Capsule ANDA 204785 RC Feb 2019.pdf","Draft","Oral","Capsule","204785","02/22/2019","Acetaminophen; Caffeine; Dihydrocodeine Bitartrate Oral Capsule ANDA 204785 RC Feb 2019.pdf"
"Acetaminophen; Codeine Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen; Codeine Phosphate Tablet ANDA 085055 PSG Page RC May 2019.pdf","Draft","Oral","Tablet","085055","05/15/2019","Acetaminophen; Codeine Phosphate Tablet ANDA 085055 PSG Page RC May 2019.pdf"
"Acetaminophen; Hydrocodone Bitartrate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen_Hydro_bit 40658; 40556; 40864; 40148; 40099_RV06-16.pdf","Draft","Oral","Tablet","040099                                                       040148                                                       040658                                                       040846","06/16/2016","Acetaminophen_Hydro_bit 40658; 40556; 40864; 40148; 40099_RV06-16.pdf"
"Acetaminophen; Ibuprofen","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211733.pdf","Draft","Oral","Tablet","211733","10/30/2024","PSG_211733.pdf"
"Acetaminophen; Oxycodone Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen; Oxycodone HCL_oral ER tablet_RLD 204031_RC 09-16.pdf","Draft","Oral","Tablet, Extended Release","204031","10/04/2016","Acetaminophen; Oxycodone HCL_oral ER tablet_RLD 204031_RC 09-16.pdf"
"Acetaminophen; Oxycodone Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen;OxycodoneHCL_Oral tablet_ANDA 40330_RV Oct 2018.pdf","Draft","Oral","Tablet","040330","11/28/2018","Acetaminophen;OxycodoneHCL_Oral tablet_ANDA 40330_RV Oct 2018.pdf"
"Acetaminophen; Propoxyphene Napsylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017122.pdf","Draft","Oral","Tablet","076429","10/30/2024","PSG_017122.pdf"
"Acetaminophen; Tramadol Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021123.pdf","Draft","Oral","Tablet","021123","10/30/2024","PSG_021123.pdf"
"Acetazolamide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetazolamide_ERcaps_12945_RC2-10.pdf","Draft","Oral","Capsule, Extended Release","012945","02/25/2010","Acetazolamide_ERcaps_12945_RC2-10.pdf"
"Acetazolamide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_008943.pdf","Draft","Oral","Tablet","008943","10/30/2024","PSG_008943.pdf"
"Acetylcysteine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207916.pdf","Draft","Oral","Tablet, Effervescent","207916","10/30/2024","PSG_207916.pdf"
"Acitretin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acitretin_Oral Capsule_RLD19821_Final 08-17.pdf","Final","Oral","Capsule","019821","08/04/2017","Acitretin_Oral Capsule_RLD19821_Final 08-17.pdf"
"Aclidinium Bromide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202450.pdf","Draft","Inhalation","Powder, Metered","202450","02/15/2024","PSG_202450.pdf"
"Aclidinium Bromide; Formoterol Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210595.pdf","Draft","Inhalation","Powder, Metered","210595","02/15/2024","PSG_210595.pdf"
"Acrivastine; Pseudoephedrine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019806.pdf","Draft","Oral","Capsule","019806","10/30/2024","PSG_019806.pdf"
"Acyclovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_203791.pdf","Draft","Buccal","Tablet","203791","11/17/2022","PSG_203791.pdf"
"Acyclovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018828.pdf","Draft","Oral","Capsule","018828","10/30/2024","PSG_018828.pdf"
"Acyclovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020089.pdf","Draft","Oral","Tablet","020089","10/30/2024","PSG_020089.pdf"
"Acyclovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021478.pdf","Draft","Topical","Cream","021478","10/21/2022","PSG_021478.pdf"
"Acyclovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019909.pdf","Draft","Oral","Suspension","019909","10/30/2024","PSG_019909.pdf"
"Acyclovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018604.pdf","Draft","Topical","Ointment","018604","10/21/2022","PSG_018604.pdf"
"Acyclovir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_202408.pdf","Draft","Ophthalmic","Ointment","202408","08/20/2021","PSG_202408.pdf"
"Acyclovir; Hydrocortisone","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022436.pdf","Draft","Topical","Cream","022436","10/21/2022","PSG_022436.pdf"
"Adagrasib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_216340.pdf","Draft","Oral","Tablet","216340","10/30/2024","PSG_216340.pdf"
"Adapalene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022502.pdf","Draft","Topical","Lotion","022502","11/21/2019","PSG_022502.pdf"
"Adapalene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020748.pdf","Draft","Topical","Cream","020748","11/21/2019","PSG_020748.pdf"
"Adapalene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020380.pdf","Draft","Topical","Gel","020380","10/21/2022","PSG_020380.pdf"
"Adapalene","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021753.pdf","Draft","Topical","Gel","021753","10/21/2022","PSG_021753.pdf"
"Adapalene; Benzoyl Peroxide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022320.pdf","Draft","Topical","Gel","022320","10/21/2022","PSG_022320.pdf"
"Adapalene; Benzoyl Peroxide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_207917.pdf","Draft","Topical","Gel","207917","10/21/2022","PSG_207917.pdf"
"Adapalene; Benzoyl Peroxide; Clindamycin Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_216632.pdf","Draft","Topical","Gel","216632","11/19/2024","PSG_216632.pdf"
"Adefovir Dipivoxil","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021449.pdf","Draft","Oral","Tablet","021449","10/30/2024","PSG_021449.pdf"
"Afamelanotide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210797.pdf","Draft","Subcutaneous","Implant","210797","02/16/2023","PSG_210797.pdf"
"Afatinib Dimaleate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Afatinib dimaleate_Oral tablet_201292_RC06-15.pdf","Draft","Oral","Tablet","201292","06/24/2015","Afatinib dimaleate_Oral tablet_201292_RC06-15.pdf"
"Air Polymer-Type A","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_212279.pdf","Draft","Intrauterine","Foam","212279","08/22/2024","PSG_212279.pdf"
"Albendazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020666.pdf","Draft","Oral","Tablet","020666","06/03/2020","PSG_020666.pdf"
"Albuterol Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020503.pdf","Draft","Inhalation","Aerosol, Metered","020503                                                       020983                                                       021457","08/22/2024","PSG_020503.pdf"
"Albuterol Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_205636.pdf","Draft","Inhalation","Powder, Metered","205636","02/15/2024","PSG_205636.pdf"
"Albuterol Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_017853.pdf","Draft","Oral","Tablet","017853","10/30/2024","PSG_017853.pdf"
"Albuterol Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019604.pdf","Draft","Oral","Tablet, Extended Release","019604","03/02/2020","PSG_019604.pdf"
"Albuterol Sulfate; Ipratropium Bromide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021747.pdf","Draft","Inhalation","Spray, Metered","021747","08/22/2024","PSG_021747.pdf"
"Alcaftadine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alcaftadine_ophthalmic solution_NDA 022134_RC11-17.pdf","Draft","Ophthalmic","Solution/Drops","022134","02/08/2018","Alcaftadine_ophthalmic solution_NDA 022134_RC11-17.pdf"
"Alectinib Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alectinib HCl_oral capsule_RLD 208434_RC09-16.pdf","Draft","Oral","Capsule","208434","10/04/2016","Alectinib HCl_oral capsule_RLD 208434_RC09-16.pdf"
"Alendronate Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alendronate sodium_oral effervescent tablet_202344_RC06-15.pdf","Draft","Oral","Tablet, Effervescent","202344","06/24/2015","Alendronate sodium_oral effervescent tablet_202344_RC06-15.pdf"
"Alendronate Sodium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alendronate__Sodium_tab_20560_RC1-08.pdf","Draft","Oral","Tablet","020560","10/27/2011","Alendronate__Sodium_tab_20560_RC1-08.pdf"
"Alendronate Sodium; Cholecalciferol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alendronate_Cholecalciferol_tab_21762_RC4-09.pdf","Draft","Oral","Tablet","021762","10/27/2011","Alendronate_Cholecalciferol_tab_21762_RC4-09.pdf"
"Alfuzosin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alfuzosin_ERtab_21287_RC7-04.pdf","Draft","Oral","Tablet, Extended Release","021287","11/01/2007","Alfuzosin_ERtab_21287_RC7-04.pdf"
"Aliskiren Hemifumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Aliskiren_Hemifumarate_tab_21985_RC8-09.pdf","Draft","Oral","Tablet","021985","08/18/2009","Aliskiren_Hemifumarate_tab_21985_RC8-09.pdf"
"Aliskiren Hemifumarate; Amlodipine Besylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Aliskiren_Hemifumarate; Amlodipine_Besylate_Tab_22545_RC06-12.pdf","Draft","Oral","Tablet","022545","06/14/2012","Aliskiren_Hemifumarate; Amlodipine_Besylate_Tab_22545_RC06-12.pdf"
"Aliskiren Hemifumarate; Hydrochlorothiazide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Aliskiren;_HCTZ_tab_22107_RC8-09.pdf","Draft","Oral","Tablet","022107","08/18/2009","Aliskiren;_HCTZ_tab_22107_RC8-09.pdf"
"Aliskiren Hemifumarate; Valsartan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Aliskiren_Hemifumarate;_Valsartan_tab_22217_RC03-11.pdf","Draft","Oral","Tablet","022217","03/31/2011","Aliskiren_Hemifumarate;_Valsartan_tab_22217_RC03-11.pdf"
"Allopurinol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_016084.pdf","Draft","Oral","Tablet","016084","11/19/2024","PSG_016084.pdf"
"Allopurinol","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_016084-Sus.pdf","Draft","Oral","Suspension","016084","11/19/2024","PSG_016084-Sus.pdf"
"Allopurinol; Lesinurad","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209203.pdf","Draft","Oral","Tablet","209203","10/30/2024","PSG_209203.pdf"
"Almotriptan Malate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021001.pdf","Draft","Oral","Tablet","021001","10/30/2024","PSG_021001.pdf"
"Alogliptin Benzoate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022271.pdf","Draft","Oral","Tablet","022271","10/30/2024","PSG_022271.pdf"
"Alogliptin Benzoate; Metformin Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_203414.pdf","Draft","Oral","Tablet","203414","10/30/2024","PSG_203414.pdf"
"Alogliptin Benzoate; Pioglitazone Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022426.pdf","Draft","Oral","Tablet","022426","10/30/2024","PSG_022426.pdf"
"Alosetron Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021107.pdf","Draft","Oral","Tablet","021107","10/30/2024","PSG_021107.pdf"
"Alpelisib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_212526.pdf","Draft","Oral","Tablet","212526","08/28/2020","PSG_212526.pdf"
"Alprazolam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alprazolam_tab_21434_RC6-04.pdf","Draft","Oral","Tablet, Extended Release","021434","11/01/2007","Alprazolam_tab_21434_RC6-04.pdf"
"Alprazolam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018276.pdf","Draft","Oral","Tablet","018276","10/30/2024","PSG_018276.pdf"
"Alprazolam","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021726.pdf","Draft","Oral","Tablet, Orally Disintegrating","021726","10/30/2024","PSG_021726.pdf"
"Alprostadil","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alprostadil_urethral suppository_RLD 020700_RC01-16.pdf","Draft","Urethral","Suppository","020700","01/27/2016","Alprostadil_urethral suppository_RLD 020700_RC01-16.pdf"
"Altretamine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Altretamine_caps_19926_RC04-10.pdf","Draft","Oral","Capsule","019926","04/20/2010","Altretamine_caps_19926_RC04-10.pdf"
"Alvimopan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Alvimopan_Cap_21775_RC06-12 .pdf","Draft","Oral","Capsule","021775","06/14/2012","Alvimopan_Cap_21775_RC06-12 .pdf"
"Amantadine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_016020.pdf","Draft","Oral","Capsule","016020","10/30/2024","PSG_016020.pdf"
"Amantadine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018101.pdf","Draft","Oral","Tablet","018101","10/30/2024","PSG_018101.pdf"
"Amantadine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Amantadine Hydrochloride Oral Extended Release Capsule NDA 208944 RC 09-2018.pdf","Draft","Oral","Capsule, Extended Release","208944","09/13/2018","Amantadine Hydrochloride Oral Extended Release Capsule NDA 208944 RC 09-2018.pdf"
"Amantadine Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209410.pdf","Draft","Oral","Tablet, Extended Release","209410","09/16/2019","PSG_209410.pdf"
"Ambrisentan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022081.pdf","Draft","Oral","Tablet","022081","10/30/2024","PSG_022081.pdf"
"Amcinonide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Amcinonide_topical lotion_RLD 76329_RC 06-16.pdf","Draft","Topical","Lotion","076329","06/16/2016","Amcinonide_topical lotion_RLD 76329_RC 06-16.pdf"
"Amifampridine Phosphate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208078.pdf","Draft","Oral","Tablet","208078","10/30/2024","PSG_208078.pdf"
"Amiloride Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018200.pdf","Draft","Oral","Tablet","018200","10/30/2024","PSG_018200.pdf"
"Amino Acids;Calcium Chloride;Dextrose;Magnesium Sulfate;Potassium Chloride;Sodium Acetate;Sodium Glycerophosphate;Soybean Oil","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_200656.pdf","Draft","Intravenous","Emulsion","200656","03/02/2020","PSG_200656.pdf"
"Aminocaproic Acid","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_015197.pdf","Draft","Oral","Tablet","015197","10/30/2024","PSG_015197.pdf"
"Aminosalicylic Acid","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Aminosalicylic_Acid_DRgran_74346_RC7-08.pdf","Draft","Oral","Granule, Delayed Release","074346","07/01/2008","Aminosalicylic_Acid_DRgran_74346_RC7-08.pdf"
"Amiodarone Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018972.pdf","Draft","Oral","Tablet","018972","10/30/2024","PSG_018972.pdf"
"Amisulpride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_209510.pdf","Draft","Intravenous","Solution","209510","08/20/2021","PSG_209510.pdf"
"Amitriptyline Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_012703.pdf","Draft","Oral","Tablet","085966                                                       085967                                                       085968                                                       085969                                                       085970                                                       085971                                                       012703","10/30/2024","PSG_012703.pdf"
"Amitriptyline Hydrochloride; Chlordiazepoxide","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_016949.pdf","Draft","Oral","Tablet","016949","10/30/2024","PSG_016949.pdf"
"Amlodipine Benzoate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_211340.pdf","Draft","Oral","Suspension","211340","10/30/2024","PSG_211340.pdf"
"Amlodipine Besylate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019787.pdf","Draft","Oral","Tablet","019787","10/30/2024","PSG_019787.pdf"
"Amlodipine Besylate; Atorvastatin Calcium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021540.pdf","Draft","Oral","Tablet","021540","10/30/2024","PSG_021540.pdf"
"Amlodipine Besylate; Benazepril Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020364.pdf","Draft","Oral","Capsule","020364","10/30/2024","PSG_020364.pdf"
"Amlodipine Besylate; Celecoxib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210045.pdf","Draft","Oral","Tablet","210045","10/30/2024","PSG_210045.pdf"
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_200175.pdf","Draft","Oral","Tablet","200175","10/30/2024","PSG_200175.pdf"
"Amlodipine Besylate; Hydrochlorothiazide; Valsartan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022314.pdf","Draft","Oral","Tablet","022314","10/30/2024","PSG_022314.pdf"
"Amlodipine Besylate; Olmesartan Medoxomil","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022100.pdf","Draft","Oral","Tablet","022100","10/30/2024","PSG_022100.pdf"
"Amlodipine Besylate; Perindopril Arginine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_205003.pdf","Draft","Oral","Tablet","205003","10/30/2024","PSG_205003.pdf"
"Amlodipine Besylate; Telmisartan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_022401.pdf","Draft","Oral","Tablet","022401","08/30/2010","PSG_022401.pdf"
"Amlodipine Besylate; Valsartan","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021990.pdf","Draft","Oral","Tablet","021990","10/30/2024","PSG_021990.pdf"
"Ammonium Lactate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020508.pdf","Draft","Topical","Cream","020508","11/17/2022","PSG_020508.pdf"
"Ammonium Lactate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_019155.pdf","Draft","Topical","Lotion","019155","11/17/2022","PSG_019155.pdf"
"Amoxicillin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050542.pdf","Draft","Oral","Tablet, Chewable","050542","10/30/2024","PSG_050542.pdf"
"Amoxicillin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050460.pdf","Draft","Oral","For Suspension","050460","10/30/2024","PSG_050460.pdf"
"Amoxicillin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050760.pdf","Draft","Oral","For Suspension","065119                                                       050760","10/30/2024","PSG_050760.pdf"
"Amoxicillin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Amoxicillin_ERtab_50813_RC04-13.pdf","Draft","Oral","Tablet, Extended Release","050813","04/05/2013","Amoxicillin_ERtab_50813_RC04-13.pdf"
"Amoxicillin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050459.pdf","Draft","Oral","Capsule","050459","10/30/2024","PSG_050459.pdf"
"Amoxicillin; Clarithromycin; Omeprazole","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050824.pdf","Draft","Oral","Capsule, Tablet, Capsule, Delayed Release","050824","08/28/2020","PSG_050824.pdf"
"Amoxicillin; Clarithromycin; Vonoprazan Fumarate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_215152.pdf","Draft","Oral","Capsule; Tablet; Tablet","215152","10/30/2024","PSG_215152.pdf"
"Amoxicillin; Clavulanate Potassium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050785.pdf","Draft","Oral","Tablet, Extended Release","050785","09/16/2019","PSG_050785.pdf"
"Amoxicillin; Clavulanate Potassium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050575.pdf","Draft","Oral","For Suspension","050575","10/30/2024","PSG_050575.pdf"
"Amoxicillin; Clavulanate Potassium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050564.pdf","Draft","Oral","Tablet","050564                                                       050720","10/30/2024","PSG_050564.pdf"
"Amoxicillin; Clavulanate Potassium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050597.pdf","Draft","Oral","Tablet, Chewable","050597","10/30/2024","PSG_050597.pdf"
"Amoxicillin; Clavulanate Potassium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050726.pdf","Draft","Oral","Tablet, Chewable","050726","10/30/2024","PSG_050726.pdf"
"Amoxicillin; Clavulanate Potassium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_050725.pdf","Draft","Oral","For Suspension","050725                                                       050755","10/30/2024","PSG_050725.pdf"
"Amoxicillin; Omeprazole Magnesium; Rifabutin","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213004.pdf","Draft","Oral","Capsule, Delayed Release","213004","08/28/2020","PSG_213004.pdf"
